,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,min_C_cwt_coefficients,max_C_abs_energy,max_C_fft_aggregated,max_C_number_crossing_m,daily_precipitation_spkt_welch_density,daily_precipitation_time_reversal_asymmetry_statistic,SO2_autocorrelation,SO2_cid_ce,SO2_last_location_of_minimum,SO2_spkt_welch_density,SO2_time_reversal_asymmetry_statistic,NO2_autocorrelation,NO2_cid_ce,NO2_spkt_welch_density,NO2_time_reversal_asymmetry_statistic,CO_cid_ce,CO_last_location_of_minimum,CO_spkt_welch_density,CO_time_reversal_asymmetry_statistic,PM2_5_cid_ce,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
0,134.0558709,81.88965056,166.9867969,134.0558709,134.0558709,-11.43431035,-11.43431035,-11.43431035,-11.43431035,-11.43431035,-11.43431035,0,0,0,122.6215605,-4.813963388,1131.38,2.01620247,0,0.023315414,0.0,-2.153080907,3.514433845,0.571428571,12.47986975,132898.0,-0.021142785,4.407225349,244.40049280000002,38888.25,3.719101883,0.571428571,0.135216999,7.023913257,3.685465278,4.5,0.3,10.2,2.9,76,970.2,0.0,91.0,78.0,4.519,297.0,368.0,35.0,347.0,1,31,4
1,150.1872314,105.83413359999999,181.87660669999997,150.1872314,150.1872314,-7.916116357999999,-7.916116357999999,-7.916116357999999,-7.916116357999999,-7.916116357999999,-7.916116357999999,0,0,0,142.27111499999998,-3.233304338,1206.26,2.064729591,0,0.005467883000000001,0.0,-0.843349032,3.6658629410000003,0.5,27.55078189,255043.125,-0.132393394,4.302956658,197.1043318,33627.75,3.555081047,0.5,0.125102724,12.04628663,3.5502913210000004,4.2,-0.8,10.1,1.6,72,976.0,0.0,101.0,89.0,5.485,381.0,471.0,27.0,421.0,2,1,5
2,156.7744236,110.7056202,178.50108290000003,156.7744236,156.7744236,-10.05748452,-10.05748452,-10.05748452,-10.05748452,-10.05748452,-10.05748452,0,0,0,146.7169391,-1.320869253,1289.78,1.67519019,0,0.000378276,0.0,-0.522060736,4.055953497,0.428571429,226.96756800000003,470636.75,-0.509183555,4.530685911,115.4615223,107541.75,3.294333808,0.428571429,0.08651270900000001,27.546023499999997,3.164326315,3.4,-0.7,6.5,2.0,72,977.0,0.0,86.0,79.0,5.268,310.0,382.0,29.0,360.0,2,2,6
3,159.0858705,138.8197517,207.42877280000002,159.0858705,159.0858705,14.94810556,14.94810556,14.94810556,14.94810556,14.94810556,14.94810556,0,0,0,174.0339761,-0.835437896,1331.39,2.170654855,0,1.47e-34,0.0,0.220452234,3.90400896,0.35714285700000004,589.2875786000001,532029.25,-0.282397207,4.858684345,35.91487497,146683.75,3.201325311,0.35714285700000004,0.029311507,43.13703029,3.28571766,2.7,1.0,5.8,1.8,87,969.3,5.5,58.0,60.0,4.48,185.0,212.0,28.0,235.0,2,3,7
4,156.1982841,104.8715721,175.5076665,156.1982841,156.1982841,-15.71006521,-15.71006521,-15.71006521,-15.71006521,-15.71006521,-15.71006521,0,0,0,140.4882188,-1.092457588,1355.42,2.47362715,0,0.014126988,0.0,-0.539596829,3.657914988,1.0,1027.090728,219058.375,-0.344487954,4.425685195,0.195824461,113402.5,2.56320928,0.28571428600000004,6.28e-06,44.9563374,2.866228012,1.9,1.0,2.8,2.8,94,972.5,0.0,53.0,52.0,4.406000000000001,138.0,169.0,20.0,183.0,2,4,1
5,164.6302356,118.5058372,180.2591307,164.6302356,164.6302356,-17.01287367,-17.01287367,-17.01287367,-17.01287367,-17.01287367,-17.01287367,0,0,0,147.6173619,-1.262925624,1308.5,2.135640199,0,0.20420180300000002,0.0,-0.555995748,3.4239740839999997,1.0,1333.76719,-17876.625,-0.30095544,4.416150386,18.75836601,25078.625,2.7779746,0.214285714,0.022384791,38.22401671,2.985251442,4.1,0.7,10.0,2.4,76,974.7,0.0,82.0,57.0,4.343999999999999,114.0,146.0,45.0,149.0,2,5,2
6,161.94723159999998,130.70589950000002,198.8265117,161.94723159999998,161.94723159999998,2.988348708,2.988348708,2.988348708,2.988348708,2.988348708,2.988348708,0,0,0,164.9355803,-1.4067110980000002,1344.5,1.898787594,0,0.87072997,0.0,-0.390134359,3.4987731269999998,0.9285714290000001,1380.325952,-391909.625,-0.059622445,3.934581521,51.35674629,-64429.0,2.860253024,0.14285714300000002,0.050273402,29.52222164,2.84979953,4.4,0.1,8.5,1.7,80,972.4,0.0,95.0,67.0,5.01,265.0,311.0,30.0,315.0,2,6,3
7,166.30389730000002,148.2217783,212.992374,166.30389730000002,166.30389730000002,11.49904504,11.49904504,11.49904504,11.49904504,11.49904504,11.49904504,0,0,0,177.8029424,-2.230221078,1330.26,1.879364344,0,2.152874399,0.0,-0.404808202,3.3223174660000003,0.857142857,1134.969502,-458292.875,-0.340409079,2.928894938,61.92278822,-66112.0,2.385310072,0.071428571,0.044537100999999996,27.37400299,2.710881984,2.4,-0.3,6.5,3.0,76,979.6,0.0,72.0,50.0,4.039,152.0,196.0,36.0,202.0,2,7,4
8,166.083447,127.3876619,191.75509119999998,166.083447,166.083447,-6.257673506000001,-6.257673506000001,-6.257673506000001,-6.257673506000001,-6.257673506000001,-6.257673506000001,0,0,0,159.8257735,-2.7923854689999996,1284.15,1.676198646,0,3.7966906610000004,0.0,0.040140654,3.442806169,0.7857142859999999,737.7866788,-840851.75,-0.601184975,2.9975988019999997,47.68206865,-187315.375,3.2958530639999997,0.071428571,0.015165359,10.04392324,3.1919739760000003,-0.6,-3.4,3.2,1.6,84,984.2,1.6,67.0,49.0,3.697,126.0,148.0,39.0,166.0,2,8,5
9,173.6414881,139.8413335,195.9487841,173.6414881,173.6414881,-3.994090807,-3.994090807,-3.994090807,-3.994090807,-3.994090807,-3.994090807,0,0,0,169.64739730000002,-3.098866895,1133.1,1.294533109,0,5.048843636,0.0,-0.236981308,3.202277216,0.7142857140000001,375.6974512,-915961.625,1.2708084990000001,2.6690561230000003,23.56722411,-236294.875,3.6812629169999997,0.071428571,2.94e-05,-3.626059151,3.27172522,2.0,-0.9,7.9,1.4,84,975.7,0.0,112.0,52.0,4.152,260.0,304.0,57.0,310.0,2,9,6
