date,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
2013/1/28,0.245283019,0.238207547,0.297777778,0.063291139,0.329268293,0.456647399,0,0.952941176,0.57480315,0.056283609,0.395309883,0.306715171,0.099616858,0.564755839,0,0.9,0
2013/1/29,0.252358491,0.202830189,0.335555556,0.253164557,0.390243902,0.452793834,0,0.694117647,0.566929134,0.059147328,0.479061977,0.365634561,0.168582375,0.670912951,0,0.933333333,0.166666667
2013/1/30,0.283018868,0.304245283,0.288888889,0.240506329,0.475609756,0.414258189,0,0.9,0.661417323,0.058590871,0.586264657,0.453031657,0.118773946,0.800424628,0,0.966666667,0.333333333
2013/1/31,0.264150943,0.278301887,0.297777778,0.329113924,0.731707317,0.414258189,0,0.517647059,0.503937008,0.053189164,0.48241206,0.359742622,0.107279693,0.675159236,0,1,0.5
2013/2/1,0.257075472,0.252358491,0.295555556,0.164556962,0.682926829,0.526011561,0,0.576470588,0.590551181,0.066299838,0.623115578,0.460887576,0.076628352,0.832271762,0.090909091,0,0.666666667
2013/2/2,0.238207547,0.254716981,0.215555556,0.215189873,0.682926829,0.545279383,0,0.488235294,0.511811024,0.063354687,0.504187605,0.37349048,0.084291188,0.702760085,0.090909091,0.033333333,0.833333333
2013/2/3,0.221698113,0.294811321,0.2,0.189873418,0.865853659,0.396917148,0.096491228,0.323529412,0.362204724,0.052659851,0.29480737,0.206552207,0.08045977,0.437367304,0.090909091,0.066666667,1
2013/2/4,0.202830189,0.294811321,0.133333333,0.316455696,0.951219512,0.458574181,0,0.294117647,0.299212598,0.051655514,0.216080402,0.164326644,0.049808429,0.326963907,0.090909091,0.1,0
2013/2/5,0.254716981,0.287735849,0.293333333,0.265822785,0.731707317,0.500963391,0,0.464705882,0.338582677,0.050814042,0.175879397,0.141740877,0.14559387,0.25477707,0.090909091,0.133333333,0.166666667
2013/2/6,0.261792453,0.273584906,0.26,0.17721519,0.780487805,0.456647399,0,0.541176471,0.417322835,0.059853078,0.42881072,0.303769201,0.088122605,0.607218684,0.090909091,0.166666667,0.333333333
2013/2/7,0.214622642,0.264150943,0.215555556,0.341772152,0.731707317,0.595375723,0,0.405882353,0.283464567,0.046674543,0.239530988,0.190840369,0.111111111,0.367303609,0.090909091,0.2,0.5
2013/2/8,0.143867925,0.191037736,0.142222222,0.164556962,0.829268293,0.684007707,0.028070175,0.376470588,0.275590551,0.042032876,0.195979899,0.143704857,0.122605364,0.290870488,0.090909091,0.233333333,0.666666667
2013/2/9,0.205188679,0.25,0.246666667,0.139240506,0.829268293,0.520231214,0,0.641176471,0.299212598,0.048208194,0.420435511,0.296895272,0.191570881,0.596602972,0.090909091,0.266666667,0.833333333
2013/2/10,0.198113208,0.202830189,0.237777778,0.164556962,0.804878049,0.431599229,0,0.441176471,0.275590551,0.051601225,0.820770519,0.606222073,0.24137931,1,0.090909091,0.3,1
2013/2/11,0.153301887,0.254716981,0.182222222,0.303797468,0.902439024,0.612716763,0.035087719,0.264705882,0.188976378,0.047923179,0.390284757,0.276273486,0.107279693,0.558386412,0.090909091,0.333333333,0
2013/2/12,0.20754717,0.238207547,0.233333333,0.164556962,0.62195122,0.658959538,0,0.305882353,0.173228346,0.04288792,0.192629816,0.158434704,0.252873563,0.284501062,0.090909091,0.366666667,0.166666667
2013/2/13,0.214622642,0.228773585,0.248888889,0.139240506,0.426829268,0.502890173,0,0.647058824,0.275590551,0.042399324,0.139028476,0.12406506,0.214559387,0.197452229,0.090909091,0.4,0.333333333
2013/2/14,0.273584906,0.318396226,0.286666667,0.101265823,0.463414634,0.512524085,0,0.447058824,0.236220472,0.045900932,0.164154104,0.145668836,0.218390805,0.23566879,0.090909091,0.433333333,0.5
2013/2/15,0.254716981,0.233490566,0.304444444,0.253164557,0.414634146,0.506743738,0,0.294117647,0.220472441,0.042643622,0.092127303,0.113263172,0.287356322,0.138004246,0.090909091,0.466666667,0.666666667
2013/2/16,0.278301887,0.301886792,0.286666667,0.253164557,0.548780488,0.356454721,0,0.488235294,0.267716535,0.052442697,0.413735343,0.296895272,0.264367816,0.588110403,0.090909091,0.5,0.833333333
2013/2/17,0.311320755,0.360849057,0.3,0.113924051,0.512195122,0.377649326,0,0.517647059,0.322834646,0.037296204,0.363484087,0.283147415,0.187739464,0.524416136,0.090909091,0.533333333,1
2013/2/18,0.20754717,0.268867925,0.248888889,0.126582278,0.829268293,0.539499037,0.057894737,0.2,0.220472441,0.015485796,0.128978224,0.120137101,0.203065134,0.180467091,0.090909091,0.566666667,0
