date,ave_C,min_C,max_C,ave_ws,ave_rh
,2.7,-2,8.8,2.2,45
,1,-4,7,0.8,45
,2.5,-2.5,8.8,1.7,46
,1.4,-3.3,7.4,1.8,51
,3.6,-2.2,8.6,2,47
,6.5,3.8,10,1.8,49
,2.6,-1.7,8.3,1.7,63
,0.9,-2.5,5.2,2.9,71
,-0.3,-2.2,2.5,1.1,83
,-1.7,-4.5,1.3,1.3,83
,0.9,-1.2,3.8,1.3,76
,-0.2,-2.3,2.2,2,74
,-1.2,-4.2,2.2,1.1,72
,-1.7,-4.5,1.8,1,80
,-1,-3.1,1.1,1.2,78
,-0.1,-2.5,3.4,1.4,81
,-1.2,-2.7,1.1,2.5,47
,-3.2,-8.3,2,2.1,52
,-1.2,-4.5,5.1,1.3,49
,-1.7,-5.9,3.9,1.9,51
,2.9,-3,10.1,3.3,39
,5,-1.4,12.9,3.4,30
,3.8,-2.1,11.7,1.3,35
,3.8,-0.7,10.7,2.5,37
,5.8,-0.6,12.4,2.6,28
,4.9,-1.1,12.7,1.9,35
,1.6,-3.1,6.1,1.7,41
,3.7,2.1,5.6,2.1,43
,4.5,2.1,6.9,2.5,58
,3.3,1.6,6.5,2,27
,-2.1,-4.9,2.9,2.4,39
,0.3,-3.3,4.7,1.1,45
,2.9,-1.1,7.2,2.6,40
,2.5,-1.5,7.1,2.1,28
,-0.8,-5.6,5.1,1.3,38
,-0.7,-5.3,5.1,1.5,43
,-0.8,-4.2,2.7,1.5,56
,1.4,-3.5,7.8,1.5,52
,1.8,-3.2,9.3,1.7,43
,1,-3.5,5.9,3.3,33
,5.8,2.1,9.8,3.3,23
,3.3,-1.5,9.4,1.8,21
,0.2,-5.1,6.6,1.1,33
,0.4,-5.5,7.9,1.4,37
,2.6,-3.5,10.1,1.5,38
,6.1,0.7,13.3,3,36
,5.1,0.1,10.8,1.6,34
,3.7,-0.3,8.1,2.8,40
,3.7,-1.3,10.8,1.8,46
,4.8,0.1,9.8,2.4,48
,5.2,-1.2,13.9,1.8,47
,6.8,1,13.5,1.6,50
,5,1.1,10.6,1.2,56
,4.5,-0.5,10.7,1,71
,6.8,0.5,15.5,1.4,67
,6.9,2.7,11.2,3,46
,1.1,-0.2,7.5,7.1,52
,-2.5,-2.7,-0.2,5.2,87
,-2.6,-3.3,-2.1,2.7,87
,-1.9,-4.4,2,1.7,86
,-2.1,-3.5,-0.4,2.1,84
,-1.8,-3.1,-0.6,2,80
,-2.3,-4.3,0.3,2.5,76
,-1.5,-4.3,1.8,1.6,67
,-1.5,-2.7,-0.3,2.3,80
,-0.1,-2,2.5,2,64
,0.7,-1.9,4.9,1.6,62
,-0.4,-3.3,3,1.7,78
,0.7,-0.1,2.4,1.8,93
,1.2,0.2,3,2.5,94
,2,0.6,5.4,1,85
,2.9,-2.1,8.3,1.9,75
,3.7,-1.2,9,1.9,65
,4.4,1.7,8.2,2.7,75
,5.5,1.7,9.3,1.9,77
,7.5,4.7,10.4,2.3,72
,6.7,4.2,9.9,2.2,76
,7.7,5,11.8,2.3,81
,8.2,7.3,10,1.9,81
,7.3,4.2,10.1,3.3,62
,4.1,2.8,8.9,3.1,84
,4.6,2.8,7.8,1.2,88
,5.1,2.4,8.8,1.3,71
,4.9,1.1,8,1.1,79
,8.3,4.2,13.7,2,57
,5.5,4.9,9.8,3.1,64
,4.5,3,6.9,2.7,88
,4.8,3.4,7.9,4.5,82
,7.3,3.6,13.9,2.1,74
,8.2,1.9,15.5,2,64
,11.7,5.2,18.9,3,53
,12.1,9.3,16.3,2.4,54
,12.7,10.1,16.4,2.8,31
,10.4,4.7,17.4,2,32
,11.5,4,19.3,2.3,34
,14,5.4,24.1,2.4,34
,15.2,7,24.4,1.9,41
,17.1,10,24,2,37
,14.1,12.6,19.8,3.3,41
,12.3,7.7,19.4,2.7,59
,12.4,7.7,16.5,2.4,23
,10.9,3.2,18.2,1.7,39
,13.4,6.2,20.9,1.4,36
,15.6,11.2,21.4,2.2,34
,16,9.9,22.4,2.2,40
,18,10.8,26.6,2,45
,19.3,11.3,26.8,3,43
,18.1,14.5,26.9,2.6,59
,15.9,11.9,21.1,2,65
,17.2,11.1,23.1,2.5,58
,15.7,13.9,20.4,2,63
,14.4,12,18.4,2.3,77
,15.6,9.7,23,1,71
,15.6,13.1,18.7,1.6,58
,16.2,13.5,20.3,1.9,67
,14.6,10.3,19.1,2,68
,15.9,11.1,21.1,2.8,63
,15.4,12.5,19,4.3,41
,17.6,12.5,24.1,1.4,51
,18.9,11.2,25.5,2.4,47
,21.7,15.2,28.6,3.5,41
,20.6,19.6,25.5,1.4,64
,12.8,11.6,19.9,2.9,95
,14.1,11.3,17.9,1.7,82
,15.9,10.8,21.1,1.4,81
,17.4,14.7,19.8,2.8,75
,15.6,13.9,18.8,5.2,83
,13,12.4,14.2,2.8,87
,15.4,10.9,21.7,1.6,80
,15.3,13.6,17.7,3,88
,14.8,13.3,18.5,1.4,87
,15,13.1,17,2.8,83
,13.2,12.2,16.2,1.4,94
,14.4,7.9,20.1,2,80
,17.5,13.7,22.6,2.3,75
,19.7,15.6,23.7,2.4,71
,10.2,8.5,22.2,4.9,83
,13.8,8.2,20.2,2.5,64
,16,10.3,22.6,1.7,52
,17.1,10.7,24.5,1.1,58
,19.7,12.3,27.5,1.1,56
,20.7,13.6,27.1,2.3,47
,17.6,16.6,24.5,2.5,55
,17.5,13.6,22.5,2.2,48
,16.2,11.1,20.4,2.7,50
,18.1,11.8,24,2.2,44
,17.1,11.4,23.2,2.8,43
,20.2,12.8,27.4,2.6,47
,25,16.7,32.7,2.6,38
,25.3,18.2,33.9,3.6,37
,21.3,14.4,28.2,3,56
,12.4,11.6,14.4,3.1,94
,17.1,10.6,24.1,2.2,55
,18,11.6,24,1.9,54
,17.9,16.6,21,2.1,76
,16.9,14.3,19.6,2.8,61
,19,13.2,26.2,2.2,49
,18.6,15.9,21.9,2.2,58
,20.1,13.6,26.4,2.4,59
,22.6,17.4,28.4,2.2,51
,22.8,17,27.9,2.4,49
,23.5,15.4,30.7,1.8,49
,25.7,19.2,31.5,2.9,39
,25.9,19.4,30.7,2.5,45
,21.8,17.5,27.4,3.3,76
,22.5,17.5,28.2,1.9,77
,21.9,19.5,25.3,3,49
,24,16.6,31.4,2.3,40
,24.7,18.8,32.1,3.7,40
,26.6,19.4,32,2,40
,26,19.8,33,1.5,48
,24,21.5,29,1.5,58
,23.2,19.8,28.9,3.5,63
,23.9,18.8,29.8,2.9,62
,26.7,20.3,32.8,3.3,59
,25.9,21.6,30.6,6,53
,24.8,19.9,31.2,3.2,69
,24.9,20,30.5,2.7,69
,24.3,21.7,28,2.4,68
,25.7,17.6,32.5,2.2,46
,26.6,19.4,35.2,1.5,39
,28.4,23,34.6,2,34
,28.4,20.9,35.9,1.5,27
,28.3,20.6,35.9,1.7,28
,25.5,23.4,31.9,3.2,53
,22.6,21.4,25.1,1.8,68
,21.5,20.1,23.7,1.3,78
,25.1,19.6,31.6,1.6,63
,28.8,22.4,35.8,2.9,50
,26.6,20,35.9,3.1,55
,30.4,23.1,37.4,2.1,40
,24,20.6,34.1,2.8,78
,23.4,19.9,26.3,1.8,73
,25.8,19.8,32.9,1.4,60
,28,21.2,34,1.7,52
,29.3,22,35,2.5,45
,26.2,21.6,30.1,2.5,55
,22.5,20.4,25.5,1.6,77
,26.1,20.8,33.5,1.9,62
,29.8,24,37.2,2.2,49
,25.5,21.3,32,2.4,66
,25.4,21,31.6,1.4,71
,25.7,22.4,29.8,2.1,71
,27.9,23.3,32.9,1.2,61
,28.1,20.1,36.9,2,55
,25.9,22.8,33.3,1.7,66
,28.2,22.4,34.2,2.5,59
,28.7,23.9,34.3,5.3,57
,29.7,24.7,35.3,4.3,54
,31.8,26.6,38.3,2.4,48
,31,27.3,38.4,3.2,55
,23.2,21.6,27.8,2.8,86
,22.1,20.5,25,3,87
,26.1,20.8,32.9,1.9,69
,28.2,22.9,34.7,2.5,55
,28.3,21.9,34.8,1.8,55
,28.3,22.5,34.1,2.1,44
,29.4,21.9,35.9,2.6,48
,30.1,24.3,36,2.9,44
,30.3,23.2,36.1,3,45
,31,26.5,36.4,3.9,49
,31.1,26.7,37.5,3,52
,31.6,26.7,37.8,3.5,52
,33.8,27.6,40.1,1.9,46
,33.5,28.6,40.6,2.9,48
,25.6,22.1,32.1,1.8,74
,26.8,22.3,32.1,1.6,54
,28.1,21.6,33.8,2,51
,29.1,23.1,34.8,3.5,48
,30,25.3,34.9,2.8,45
,30.1,26,35.2,4.3,49
,31.7,26.5,37.2,3.5,53
,32,26.5,37.5,4.3,55
,31.1,26.5,36.3,3.6,61
,30.5,25.9,35.8,4.9,53
,30.4,26.1,35.8,3.8,52
,31.6,27.2,36.5,3.4,50
,31.9,28,36.6,1.8,51
,29.4,24.9,33.5,4.4,64
,23.1,21,29.3,5.9,77
,19.3,17.9,21.2,2.9,88
,18.4,18.1,20.2,2.6,95
,20,17,25,1.8,83
,23.4,18.3,28.7,1.6,76
,26.2,22.8,31,1.4,71
,22.2,20.3,27.2,1.9,88
,23.5,18.3,31.8,2.8,76
,25.3,19.4,31.5,1.6,60
,25.6,18.9,30.7,2.3,60
,24.8,23.5,28.4,3.2,62
,21.6,20,24.6,2.7,82
,24.1,20.6,29.7,1.8,69
,25.3,19.6,32,1.2,65
,25.7,19.8,32,2.3,59
,26.5,22.5,31.5,2.4,62
,27,23.2,31.4,1.9,61
,26.4,23.6,32.3,1.2,60
,25.6,21.1,30.3,2.6,50
,25.5,17.9,32.5,2.1,47
,25.2,20.1,30.8,1.8,52
,25.7,21.6,31.3,2.3,59
,25.3,20.4,30.8,3,61
,25.7,21.3,30.1,3.1,62
,21.5,18.9,28.1,4.7,83
,21,18.8,24.2,1.3,84
,20.9,20.3,22.6,2,89
,23.1,18.9,29.8,2,73
,23.2,17.3,30.6,1.7,56
,22.9,16.8,28.7,1.9,60
,24.5,19.4,30.4,3.2,65
,25.3,22,29.4,4,62
,22,21.2,26.9,1.7,92
,22.5,20.7,25,2,90
,21.3,20.6,22.4,1.7,95
,21.3,20.9,22,2.5,96
,21.8,20.5,24.9,4.3,90
,19.2,17,21.2,3.1,88
,16.5,15.8,18.7,3.8,92
,16.7,15.9,17.4,1.8,97
,16.8,16.5,17.3,3.2,97
,15.7,15.2,16.6,3,95
,17.1,15.6,20.4,1.5,91
,18.7,16,23.1,1.7,83
,19,15.9,24.4,1.7,79
,20.6,15.1,27.2,1.5,77
,22.4,17.4,27.8,2.7,77
,22,20.6,25.2,2.9,72
,18,15.9,21.9,2.2,87
,19.2,15.2,25.1,1.3,78
,18.9,15.4,23.2,2.7,81
,20.8,15.8,26.1,1.6,79
,20.9,19.5,23.9,1.2,85
,17.6,17,20.1,3.4,96
,19.9,16.6,25,1.1,81
,21,16.5,28.2,3.2,70
,18,15.1,22.6,2.9,85
,19.8,14.4,27.3,1.6,75
,20.3,15.3,25,1.7,75
,20.7,18.6,25.8,1.1,68
,19.6,12.8,26.2,1.8,59
,18.9,14.9,24.4,3.7,63
,18.3,13.7,23.2,2.2,63
,19.1,15.1,22.6,1.8,74
,20.6,16.8,25,3.2,67
,20.3,16.4,24.8,4.4,59
,15.5,12.5,21.2,2.6,67
,11.1,10.3,13.1,2.5,71
,12.6,10.3,16.9,2,65
,13.6,7.1,20.8,1.7,66
,14.3,10.2,18.7,1.6,71
,16,13,20.7,2.2,69
,17.7,14.2,23.7,1.7,66
,16.9,13.7,21.8,2.5,69
,18.3,15.8,22.5,1.7,75
,15,14.5,19.3,0.9,90
,15.9,13.2,21.1,2,83
,14.3,11.4,16.6,1.4,86
,15.6,10.4,23.7,0.9,77
,15.8,10.2,24.8,1.7,71
,16.7,10.5,25.7,1.2,70
,17.1,11.7,24.8,1.5,71
,15.9,14.1,19.1,6.2,48
,11.2,10.2,14.6,3.8,70
,11.8,10.1,13.8,1.9,77
,13.1,11.7,14.7,1.7,77
,13.2,12,15,2.7,73
,12.3,10.2,15.8,2.8,61
,10,4.9,14.8,2.2,41
,8.1,2.4,15.2,1.8,51
,9.4,2.6,16.1,0.9,59
,14.3,10.6,21.3,2.3,54
,11.7,6.7,16.9,1.8,61
,11.3,10.5,13.9,2.7,59
,10.2,8.2,12,2.8,67
,9.5,8.1,11.3,2.9,70
,10.4,9,12.3,1.7,74
,12.2,8.8,17.2,2.6,49
,9.4,5.8,14.2,1.1,55
,7.3,2.2,13,2.1,49
,6.4,1.8,11.4,2,62
,9.4,6.8,14.2,1.7,68
,7.1,2.8,13.2,1.8,70
,6.9,3,12.6,2,63
,6.9,2,11.7,1.5,61
,11,6.8,18,1.9,62
,9.6,4.8,16.4,1.6,67
,7.8,4.2,10.7,1.3,76
,6.4,5.3,9.7,1.7,84
,7.8,5.4,9.7,1.2,86
,7.5,7.1,8.6,1.9,94
,8.1,6.5,11.1,1.7,88
,7.7,5.5,9.9,1.8,83
,8.1,7,10.2,1.1,77
,6.3,3.4,9.7,2.7,77
,7.3,6.5,8.5,2.4,79
,6.8,4.4,9.4,3.1,48
,0.7,-0.8,4.4,3.1,36
,0.1,-4.1,4.3,1.3,54
,5,1.5,9.6,2.4,39
,0.9,-2,6.6,1.9,35
,0,-4.4,5.2,1.6,49
,1.8,-1.2,4.5,2.2,55
,4.1,-0.9,11.1,1.8,47
,3.1,-1.2,8.3,3.3,46
,3.5,1.2,6.5,3.4,61
,2.8,0.3,6.8,2.5,46
,2.3,0.6,5.3,1.3,47
,1.7,-1.3,6.9,1.2,40
,0.3,-4.1,6,1.3,52
,1.9,-2.2,6,1.8,56
,4,1.6,6.2,4.3,28
,2.1,-1,6.2,2.7,21
,1.1,-4.8,8.4,1.3,38
,0.7,-3.7,6.7,1.3,46
,0.8,-4.1,7.9,1.7,52
,1.6,-1.3,4.1,2.4,31
,0.8,-3.3,5.6,2.4,26
,-1.1,-6,3.8,1.4,38
,3,-2.3,10,1.8,38
,2.1,-2.8,7.8,1.6,46
,1.1,-0.5,4.2,2.6,45
,1.7,-0.1,3.9,1.4,50
,2.8,-1.7,8.5,2.7,56
,5.9,0.1,14.7,2.8,45
,4.7,-1.5,13.2,1.2,46
,6.1,-0.6,14.4,1.8,39
,1.5,-0.7,9.9,3,24
,-1.7,-6.7,4.1,1.5,40
,0.4,-1.4,3.1,1.7,39
,0.2,-4.5,6.9,1,46
,2,-3.9,7.6,1.6,50
,8.2,4.6,12.5,3.3,24
,4.6,2.6,8.1,2.2,41
,2.6,-2.5,8.6,1.9,64
,5.1,1.2,11.3,1.4,49
,3.1,-1.5,9.1,1.7,51
,2.4,-2.8,9.4,1,58
,2.4,-3.1,8.7,1.2,57
,4,-1.2,8.3,2.8,51
,2.4,-1.2,5.7,2.5,65
,1.5,-2.5,6.3,0.9,73
,2.2,-2.6,7.9,1.6,69
,2.5,-3.4,9.8,1.3,56
,1.6,-0.7,5.1,3.6,50
,4.5,-1.1,12.2,2.8,57
,2.6,-2.9,9.9,1.3,47
,7.5,1.5,15.4,3.3,35
